"Sex","HR2","HR1","HR0.5","HR0.2","FAR2","FAR1","FAR0.5","FAR0.2","DP2","DP1","DP0.5","DP0.2","CB2","CB1","CB0.5","CB0.2","Genotype"
"1",0.363809979197662,0.503384961451173,0.486414006094601,0.469798756287894,0.926557431669816,0.332059784582403,0.484981366982852,0.786834962352127,3.27066316886152,1.66789364913064,2.29521456766737,1.62564251930932,2.07456521345174,2.35970983824632,2.01626468751132,1.75064657731008,"1"
"1",0.624812707872509,0.635739218124257,0.44452939544272,0.46888205813817,0.956642856893575,0.455780865013348,0.622477954986001,0.878631439540449,2.81721926783496,1.59649042082773,1.62166572684273,0.985000815936932,1.41432436559289,1.81918312410769,1.77102879656555,1.3693555948897,"1"
"1",0.568863236669694,0.502631833220801,0.482634670295188,0.437058196900627,0.953652999407116,0.382259188353363,0.569525124295,0.845239372196241,2.84545097065165,1.60243695362491,1.92792844472406,1.19843710043104,1.49623230108178,2.24360089930003,1.85458053654074,1.55292246234653,"0"
"1",0.169827573702924,0.388700756857356,0.340067270834829,0.455691990433668,0.937110368067406,0.38008901718913,0.587596222864278,0.862776000122144,2.60089342722719,1.56996714443778,1.57688886326107,1.11614935065723,2.09737074681285,2.36608118862255,1.98787296234218,1.47026135607852,"0"
"0",0.24419250617448,0.349036721562272,0.305801024466489,0.361329697094061,0.946611910169153,0.463458796964871,0.610778114069887,0.81272428831447,2.37405600271323,1.38477108877419,1.34311121085871,1.24288976773431,1.90582035860433,2.19258736377538,1.95135704444465,1.73038054913305,"0"
"0",0.494881278293163,0.354425439263534,0.379359682223298,0.463184924384691,0.954125324873001,0.477034241184654,0.694657995715002,0.910848212895893,2.64291266648103,1.37245446492862,1.14396662056331,0.694949360228082,1.57170946806303,2.14653224964172,1.68261977693043,1.22698503476169,"1"
"0",0.188296023758243,0.273014998955021,0.4126061782166,0.37203418217688,0.93990926423946,0.39987704311098,0.524495269032217,0.818441433727931,2.59773091492779,1.41671876209219,2.02800027760052,1.27366179136242,2.04744725502666,2.49828042264477,2.05733942136477,1.72165608942441,"0"
"1",0.0903635975001401,0.186443109224839,0.176922311702139,0.252372639883497,0.94591628182631,0.453709107752765,0.585373098352441,0.871928520358876,2.02090714690116,1.25515705382413,1.14833244359413,0.579816451566169,2.11124811087693,2.49263212595591,2.1995920323286,1.61919819210674,"0"
"1",0.327020820867074,0.621435572859654,0.49162500618884,0.399633714985697,0.9524251157646,0.537996091242031,0.62656853234616,0.867480636936732,2.40791226438176,1.48487692257824,1.68622114881968,0.940280053638365,1.7523065748203,1.62749817612584,1.72525148048837,1.49279048567745,"0"
"1",0.192344799864813,0.293986176299156,0.213820404498576,0.341759274949532,0.953312512338383,0.505663341861496,0.647357578092972,0.87789417140561,2.04907636491904,1.28051990673081,0.956395711491427,0.744391969489157,1.85957487113493,2.15512489294875,1.99172235514828,1.50840369940941,"1"
"1",0.285782611702637,0.42235406258073,0.560725117926215,0.495161508230703,0.945048969390127,0.395508172210734,0.632172214711818,0.868382424995633,2.55836594255243,1.53691071230991,1.79488159869682,1.09832895514984,1.86814172761097,2.30068962277881,1.63406566436082,1.38110299373412,"1"
"0",0.484732126725092,0.600386957897706,0.58474968106855,0.633354065865095,0.953765723055998,0.494559625853695,0.674427627106345,0.888816615744705,2.74915263508907,1.5184230668115,1.7108933461741,1.21803682416402,1.54873301978426,1.77137887626368,1.5206194703398,1.15591076707523,"0"
